22:20:41; Anip24; [-12, -95]
22:20:46; Anip24; [-12, -95]
22:20:51; Anip24; [-12, -95]
22:20:56; Anip24; [-12, -95]
22:21:01; Anip24; [-12, -95]
22:21:06; Anip24; [-12, -95]
22:21:11; Anip24; [-12, -95]
22:21:16; Anip24; [-12, -95]
22:21:21; Anip24; [-12, -95]
22:21:26; Anip24; [-12, -95]
22:21:31; Anip24; [-12, -95]
22:21:36; Anip24; [-12, -95]
22:21:41; Anip24; [-12, -95]
22:21:46; Anip24; [-12, -96]
22:21:51; Anip24; [-12, -95]
22:21:56; Anip24; [-12, -95]
22:22:01; Anip24; [-12, -95]
22:22:06; Anip24; [-12, -95]
22:22:11; Anip24; [-12, -95]
22:22:16; Anip24; [-12, -95]
22:22:21; Anip24; [-12, -95]
22:22:26; Anip24; [-12, -95]
22:22:31; Anip24; [-12, -95]
22:22:36; Anip24; [-12, -95]
22:22:41; Anip24; [-12, -95]
22:22:46; Anip24; [-12, -95]
22:22:51; Anip24; [-12, -95]
22:22:56; Anip24; [-12, -95]
22:23:01; Anip24; [-12, -95]
22:23:06; Anip24; [-12, -95]
22:23:11; Anip24; [-12, -95]
22:23:16; Anip24; [-12, -95]
22:23:21; Anip24; [-11, -95]
22:23:26; Anip24; [-12, -95]
22:23:31; Anip24; [-12, -95]
22:23:36; Anip24; [-12, -95]
22:23:41; Anip24; [-13, -95]
22:23:46; Anip24; [-12, -95]
22:23:51; Anip24; [-11, -95]
22:23:56; Anip24; [-11, -95]
22:24:01; Anip24; [-11, -95]
22:24:06; Anip24; [-11, -95]
22:24:11; Anip24; [-11, -95]
22:24:16; Anip24; [-11, -95]
22:24:21; Anip24; [-11, -95]
22:24:26; Anip24; [-11, -95]
22:24:31; Anip24; [-10, -94]
22:24:36; Anip24; [-8, -93]
22:24:41; Anip24; [-7, -93]
22:24:46; Anip24; [-7, -92]
22:24:51; Anip24; [-8, -92]
22:24:56; Anip24; [-7, -92]
22:25:01; Anip24; [-7, -92]
22:25:06; Anip24; [-6, -91]
22:25:11; Anip24; [-6, -91]
22:25:16; Anip24; [-5, -91]
22:25:21; Anip24; [-5, -91]
22:25:26; Anip24; [-5, -91]
22:25:31; Anip24; [-6, -91]
22:25:36; Anip24; [-5, -91]
22:25:41; Anip24; [-5, -90]
22:25:46; Anip24; [-5, -91]
22:25:51; Anip24; [-5, -91]
22:25:56; Anip24; [-4, -90]
22:26:01; Anip24; [-4, -91]
22:26:06; Anip24; [-4, -91]
22:26:11; Anip24; [-4, -90]
22:26:16; Anip24; [-4, -90]
22:26:21; Anip24; [-4, -90]
22:26:26; Anip24; [-4, -90]
22:26:31; Anip24; [-4, -90]
22:26:36; Anip24; [-4, -90]
22:26:41; Anip24; [-4, -90]
22:26:46; Anip24; [-4, -90]
22:26:51; Anip24; [-4, -90]
22:26:56; Anip24; [-4, -90]
22:27:01; Anip24; [-4, -90]
22:27:06; Anip24; [-4, -90]
22:27:11; Anip24; [-4, -90]
